PRICEEACH,,SALES,ORDERDATE,STATUS,,MONTH_ID,YEAR_ID
95.7,,2871,2/24/2003 0:00,Shipped,,2,2003
81.35,,2765.9,5/7/2003 0:00,Shipped,,5,2003
94.74,,3884.34,7/1/2003 0:00,Shipped,,7,2003
83.26,,3746.7,8/25/2003 0:00,Shipped,,8,2003
100,,5205.27,10/10/2003 0:00,Shipped,,10,2003
96.66,,3479.76,10/28/2003 0:00,Shipped,,10,2003
86.13,,2497.77,11/11/2003 0:00,Shipped,,11,2003
100,,5512.32,11/18/2003 0:00,Shipped,,11,2003
98.57,,2168.54,12/1/2003 0:00,Shipped,,12,2003
100,,4708.44,1/15/2004 0:00,Shipped,,1,2004
100,,3965.66,2/20/2004 0:00,Shipped,,2,2004
100,,2333.12,4/5/2004 0:00,Shipped,,4,2004
100,,3188.64,5/18/2004 0:00,Shipped,,5,2004
100,,3676.76,6/28/2004 0:00,Shipped,,6,2004
92.83,,4177.35,7/23/2004 0:00,Shipped,,7,2004
100,,4099.68,8/27/2004 0:00,Shipped,,8,2004
100,,9064.89,12/5/2003 0:00,Shipped,,12,2003
100,,6075.3,1/29/2004 0:00,Shipped,,1,2004
100,,6463.23,3/10/2004 0:00,Shipped,,3,2004
100,,6120.34,5/4/2004 0:00,Shipped,,5,2004
100,,7680.64,6/15/2004 0:00,Shipped,,6,2004
99.91,,3896.49,2/24/2003 0:00,Shipped,,2,2003
96.34,,2793.86,4/29/2003 0:00,Shipped,,4,2003
100,,3307.77,7/1/2003 0:00,Shipped,,7,2003
100,,5192.95,8/25/2003 0:00,Shipped,,8,2003
100,,5016.83,10/10/2003 0:00,Shipped,,10,2003
100,,3660.93,10/28/2003 0:00,Shipped,,10,2003
100,,4695.6,11/11/2003 0:00,Shipped,,11,2003
96.34,,3660.92,11/18/2003 0:00,Shipped,,11,2003
100,,3025.92,12/1/2003 0:00,Shipped,,12,2003
100,,3009.09,1/12/2004 0:00,Shipped,,1,2004
100,,5422.39,2/20/2004 0:00,Shipped,,2,2004
100,,2852.08,4/3/2004 0:00,Shipped,,4,2004
100,,5756.52,5/18/2004 0:00,Shipped,,5,2004
100,,4472,6/28/2004 0:00,Shipped,,6,2004
100,,2904.44,7/23/2004 0:00,Shipped,,7,2004
100,,6484.59,8/27/2004 0:00,Shipped,,8,2004
96.34,,3757.26,9/27/2004 0:00,Shipped,,9,2004
100,,4043.96,10/15/2004 0:00,Shipped,,10,2004
100,,5566.5,11/2/2004 0:00,Shipped,,11,2004
100,,3176,11/15/2004 0:00,Shipped,,11,2004
68.92,,2756.8,11/23/2004 0:00,Shipped,,11,2004
51.15,,1329.9,12/17/2004 0:00,Shipped,,12,2004
100,,5288.01,2/2/2005 0:00,Shipped,,2,2005
44.51,,2225.5,3/3/2005 0:00,Shipped,,3,2005
100,,5833.8,4/7/2005 0:00,Shipped,,4,2005
100,,5887.35,5/13/2005 0:00,Disputed,,5,2005
100,,6065.55,2/24/2003 0:00,Shipped,,2,2003
100,,9264.86,4/29/2003 0:00,Shipped,,4,2003
100,,7023.98,7/1/2003 0:00,Shipped,,7,2003
100,,5176.38,8/25/2003 0:00,Shipped,,8,2003
100,,4132.7,10/10/2003 0:00,Shipped,,10,2003
100,,4183,10/28/2003 0:00,Shipped,,10,2003
100,,8892.9,11/11/2003 0:00,Shipped,,11,2003
100,,8714.7,11/18/2003 0:00,Shipped,,11,2003
100,,8065.89,12/1/2003 0:00,Shipped,,12,2003
100,,6123.4,1/12/2004 0:00,Shipped,,1,2004
100,,9774.03,2/20/2004 0:00,Shipped,,2,2004
100,,7023.9,4/5/2004 0:00,Shipped,,4,2004
100,,7078.23,5/18/2004 0:00,Shipped,,5,2004
100,,8336.94,6/28/2004 0:00,Shipped,,6,2004
100,,6901.92,7/23/2004 0:00,Shipped,,7,2004
100,,5438.07,8/27/2004 0:00,Shipped,,8,2004
100,,6683.34,9/30/2004 0:00,Shipped,,9,2004
100,,4570.4,10/15/2004 0:00,Shipped,,10,2004
100,,7667.14,11/2/2004 0:00,Shipped,,11,2004
100,,5868.2,11/15/2004 0:00,Shipped,,11,2004
76.67,,2990.13,11/23/2004 0:00,Shipped,,11,2004
100,,3664.1,1/5/2005 0:00,Shipped,,1,2005
100,,3834.38,2/2/2005 0:00,Shipped,,2,2005
86.77,,1822.17,3/3/2005 0:00,Shipped,,3,2005
100,,11886.6,4/8/2005 0:00,Shipped,,4,2005
100,,9218.16,5/13/2005 0:00,Disputed,,5,2005
100,,7208,2/11/2003 0:00,Shipped,,2,2003
100,,5004.8,4/28/2003 0:00,Shipped,,4,2003
100,,4398.24,6/12/2003 0:00,Shipped,,6,2003
100,,5597.76,8/10/2003 0:00,Shipped,,8,2003
100,,4526.08,10/6/2003 0:00,Shipped,,10,2003
100,,5924.16,10/23/2003 0:00,Cancelled,,10,2003
100,,3492.48,11/8/2003 0:00,Shipped,,11,2003
100,,3854.24,11/14/2003 0:00,Shipped,,11,2003
100,,5324.4,11/26/2003 0:00,Shipped,,11,2003
100,,5197.92,1/9/2004 0:00,Shipped,,1,2004
100,,5997.6,2/19/2004 0:00,Shipped,,2,2004
100,,2910.4,5/7/2004 0:00,Cancelled,,5,2004
100,,3378.24,6/17/2004 0:00,Shipped,,6,2004
100,,3508.8,7/21/2004 0:00,Shipped,,7,2004
100,,2992,8/20/2004 0:00,Shipped,,8,2004
100,,3427.2,9/10/2004 0:00,Shipped,,9,2004
100,,2692.8,10/14/2004 0:00,Shipped,,10,2004
100,,4128.96,11/1/2004 0:00,Shipped,,11,2004
64.93,,3051.71,11/5/2004 0:00,Shipped,,11,2004
48.05,,1201.25,11/21/2004 0:00,Shipped,,11,2004
75.47,,1962.22,12/2/2004 0:00,Shipped,,12,2004
54.68,,2624.64,12/15/2004 0:00,Shipped,,12,2004
100,,4046.25,1/31/2005 0:00,Shipped,,1,2005
100,,4846.7,2/23/2005 0:00,Shipped,,2,2005
100,,3370.56,3/17/2005 0:00,Shipped,,3,2005
100,,9661.44,4/1/2005 0:00,Shipped,,4,2005
100,,2764.88,5/6/2005 0:00,On Hold,,5,2005
100,,5398.26,1/29/2003 0:00,Shipped,,1,2003
100,,4305.28,4/1/2003 0:00,Shipped,,4,2003
100,,3347.74,5/28/2003 0:00,Shipped,,5,2003
100,,3188.12,7/24/2003 0:00,Shipped,,7,2003
100,,3191.2,9/19/2003 0:00,Shipped,,9,2003
100,,3536.82,10/21/2003 0:00,Resolved,,10,2003
100,,5362.83,11/6/2003 0:00,Shipped,,11,2003
100,,3433.36,11/13/2003 0:00,Shipped,,11,2003
100,,4263.74,11/25/2003 0:00,Shipped,,11,2003
100,,4076.19,12/9/2003 0:00,Shipped,,12,2003
100,,7020.48,2/4/2004 0:00,Shipped,,2,2004
100,,6426.5,3/11/2004 0:00,Shipped,,3,2004
100,,4591.72,5/4/2004 0:00,Shipped,,5,2004
100,,4033.38,6/15/2004 0:00,Shipped,,6,2004
100,,4302.08,7/19/2004 0:00,Shipped,,7,2004
100,,7020.64,8/19/2004 0:00,Shipped,,8,2004
